epoch,train_loss,train_dice,val_loss,val_dice,train_time_sec,val_time_sec,best_val_dice_so_far
1,1.243668,0.699150,1.125508,0.820847,21265.19,198.29,0.820847
2,1.058323,0.802160,1.001491,0.756316,2585.86,191.34,0.820847
3,0.909429,0.819879,0.837359,0.837918,13586.62,1078.20,0.837918
4,0.772259,0.836659,0.744614,0.762599,12806.47,167.52,0.837918
5,0.645530,0.851431,0.601845,0.860466,2968.48,260.80,0.860466
6,0.529329,0.861970,0.526952,0.789753,5074.98,182.72,0.860466
7,0.427237,0.878515,0.402549,0.843223,3764.02,1500.20,0.860466
8,0.356556,0.876766,0.348044,0.867338,8232.23,3120.70,0.867338
9,0.299964,0.882913,0.293254,0.852660,2164.56,160.99,0.867338
10,0.254510,0.889566,0.280187,0.844565,2153.11,164.10,0.867338
11,0.225890,0.891649,0.246563,0.862203,2723.79,171.25,0.867338
12,0.200915,0.896942,0.275197,0.812746,2253.29,174.05,0.867338
13,0.182481,0.899690,0.224766,0.849202,2286.55,169.13,0.867338
14,0.174821,0.898002,0.194021,0.879879,2791.60,177.12,0.879879
15,0.170247,0.895852,0.221011,0.850288,6874.05,209.21,0.879879
16,0.160056,0.899880,0.189930,0.865361,45053.65,148.24,0.879879
17,0.146920,0.905771,0.192856,0.865605,9529.34,156.76,0.879879
18,0.144848,0.905167,0.253095,0.806295,2064.76,158.17,0.879879
19,0.139267,0.906940,0.206899,0.844754,2400.57,160.66,0.879879
20,0.143740,0.901755,0.260142,0.808301,2164.10,161.80,0.879879
21,0.140314,0.903312,0.179421,0.871636,2668.56,190.04,0.879879
22,0.133645,0.907325,0.182690,0.863603,4777.72,184.61,0.879879
23,0.128938,0.909437,0.169070,0.881042,9045.77,140.10,0.881042
24,0.128024,0.909675,0.182600,0.865003,24702.39,238.05,0.881042
25,0.128824,0.909272,0.184663,0.864915,7623.55,1062.22,0.881042
26,0.126277,0.910008,0.158670,0.884807,8890.73,1072.50,0.884807
27,0.125363,0.910346,0.205969,0.842802,9760.03,1144.90,0.884807
28,0.125451,0.909895,0.195473,0.855507,24098.50,2055.80,0.884807
29,0.124896,0.909795,0.180135,0.863498,2806.91,7162.74,0.884807
30,0.123241,0.911115,0.182040,0.859519,2557.02,244.67,0.884807
